cohort_key,cohort_label,difference,auc_diff_point,auc_diff_boot_mean,auc_diff_ci_low,auc_diff_ci_high,n_bootstrap
adni_tau90,ADNI tau90,diff_ref_minus_severity,0.013391203703703614,0.012229600694444445,-0.016665653935185036,0.043921875000000006,1000
adni_tau90,ADNI tau90,diff_ref_minus_demo,0.10826388888888883,0.10884202546296297,0.06303125000000004,0.16247974537037052,1000
adni_tau90,ADNI tau90,diff_ref_minus_minusallcdr,0.09358796296296301,0.08991835648148148,0.04673379629629627,0.136943576388889,1000
adni_tau180,ADNI tau180,diff_ref_minus_severity,0.005046853944943974,0.009221323529411773,-0.01856096426999996,0.040858427522481575,1000
adni_tau180,ADNI tau180,diff_ref_minus_demo,0.11867970189478316,0.11608534464978137,0.0658440069576217,0.16767262567719932,1000
adni_tau180,ADNI tau180,diff_ref_minus_minusallcdr,0.09626027830487038,0.09675878606000604,0.05210256648241329,0.14545163524736682,1000
oasis3_tau180,OASIS3 tau180,diff_ref_minus_severity,0.13407852564102563,0.11810838141025644,0.057824786324786354,0.18819878472222243,1000
oasis3_tau180,OASIS3 tau180,diff_ref_minus_demo,0.14000534188034186,0.12527846153846153,0.05593977029914536,0.19778098290598295,1000
oasis3_tau180,OASIS3 tau180,diff_ref_minus_minusallcdr,0.0685737179487178,0.059122238247863244,0.030697649572649567,0.09482184829059816,1000
