cohort_key,cohort_label,experiment,model,robustness_best_model,n_subjects,n_pos,n_neg,auc_point,auc_boot_mean,auc_ci_low,auc_ci_high,n_bootstrap
adni_tau90,ADNI tau90,reference_combined,logreg_balanced,logreg_balanced,438,78,360,0.8512152777777777,0.852741724537037,0.7970659722222222,0.8979962384259258,1000
adni_tau90,ADNI tau90,severity_only,logreg_balanced,logreg_balanced,438,78,360,0.8378240740740741,0.8405121238425926,0.7903171296296297,0.8849146412037038,1000
adni_tau90,ADNI tau90,demo_only,logreg_balanced,logreg_balanced,438,78,360,0.7429513888888889,0.743899699074074,0.6778509837962963,0.801849537037037,1000
adni_tau90,ADNI tau90,minus_all_cdr,logreg_balanced,logreg_balanced,438,78,360,0.7576273148148147,0.7628233680555555,0.7006299189814815,0.8221186342592594,1000
adni_tau180,ADNI tau180,reference_combined,logreg_balanced,logreg_balanced,547,84,463,0.85958151142645,0.8626223627038473,0.8116638994307401,0.9066752261914583,1000
adni_tau180,ADNI tau180,severity_only,logreg_balanced,logreg_balanced,547,84,463,0.854534657481506,0.8534010391744354,0.8075135783626212,0.8937043191224596,1000
adni_tau180,ADNI tau180,demo_only,logreg_balanced,logreg_balanced,547,84,463,0.7409018095316668,0.746537018054066,0.6856495183978218,0.8047228467123175,1000
adni_tau180,ADNI tau180,minus_all_cdr,logreg_balanced,logreg_balanced,547,84,463,0.7633212331215796,0.7658635766438413,0.7040707673321783,0.8246066657729012,1000
oasis3_tau180,OASIS3 tau180,reference_combined,logreg_balanced,logreg_balanced,368,45,323,0.9328151709401709,0.9279955021367522,0.8898697916666666,0.9604290865384617,1000
oasis3_tau180,OASIS3 tau180,severity_only,logreg_balanced,random_forest_balanced,368,45,323,0.7987366452991452,0.8098871207264957,0.7265110176282051,0.885220486111111,1000
oasis3_tau180,OASIS3 tau180,demo_only,logreg_balanced,logreg_balanced,368,45,323,0.792809829059829,0.8027170405982906,0.7293067574786324,0.8742266292735043,1000
oasis3_tau180,OASIS3 tau180,minus_all_cdr,logreg_balanced,logreg_balanced,368,45,323,0.864241452991453,0.868873263888889,0.8116443643162394,0.9123102297008547,1000
