cohort_key,cohort_label,feature_family,feature,present,nonmissing_n
adni_tau90,ADNI tau90,demo_num,age_h,1,438
adni_tau90,ADNI tau90,demo_num,education_years_h,1,438
adni_tau90,ADNI tau90,demo_num,apoe_e4_count_h,1,429
adni_tau90,ADNI tau90,demo_num,apoe_e4_carrier_h,1,429
adni_tau90,ADNI tau90,demo_cat,sex_h,1,438
adni_tau90,ADNI tau90,severity,cdr_global_h,1,436
adni_tau90,ADNI tau90,severity,cdr_sumboxes_h,1,436
adni_tau90,ADNI tau90,severity,faq_total_h,1,160
adni_tau90,ADNI tau90,severity,moca_h,1,155
adni_tau180,ADNI tau180,demo_num,age_h,1,547
adni_tau180,ADNI tau180,demo_num,education_years_h,1,547
adni_tau180,ADNI tau180,demo_num,apoe_e4_count_h,1,529
adni_tau180,ADNI tau180,demo_num,apoe_e4_carrier_h,1,529
adni_tau180,ADNI tau180,demo_cat,sex_h,1,547
adni_tau180,ADNI tau180,severity,cdr_global_h,1,545
adni_tau180,ADNI tau180,severity,cdr_sumboxes_h,1,545
adni_tau180,ADNI tau180,severity,faq_total_h,1,207
adni_tau180,ADNI tau180,severity,moca_h,1,203
oasis3_tau90,OASIS3 tau90,demo_num,age_h,1,142
oasis3_tau90,OASIS3 tau90,demo_num,education_years_h,1,142
oasis3_tau90,OASIS3 tau90,demo_num,apoe_e4_count_h,1,142
oasis3_tau90,OASIS3 tau90,demo_num,apoe_e4_carrier_h,1,142
oasis3_tau90,OASIS3 tau90,demo_cat,sex_h,1,142
oasis3_tau90,OASIS3 tau90,severity,cdr_global_h,0,0
oasis3_tau90,OASIS3 tau90,severity,cdr_sumboxes_h,1,142
oasis3_tau90,OASIS3 tau90,severity,faq_total_h,1,142
oasis3_tau90,OASIS3 tau90,severity,moca_h,0,0
oasis3_tau180,OASIS3 tau180,demo_num,age_h,1,368
oasis3_tau180,OASIS3 tau180,demo_num,education_years_h,1,368
oasis3_tau180,OASIS3 tau180,demo_num,apoe_e4_count_h,1,367
oasis3_tau180,OASIS3 tau180,demo_num,apoe_e4_carrier_h,1,367
oasis3_tau180,OASIS3 tau180,demo_cat,sex_h,1,368
oasis3_tau180,OASIS3 tau180,severity,cdr_global_h,0,0
oasis3_tau180,OASIS3 tau180,severity,cdr_sumboxes_h,1,368
oasis3_tau180,OASIS3 tau180,severity,faq_total_h,1,367
oasis3_tau180,OASIS3 tau180,severity,moca_h,0,0
