feature,tau+_n,tau+_mean,tau+_sd,tau-_n,tau-_mean,tau-_sd,p_value_mwu,cohort_key,cohort_label
age_h,5,73.22874743326489,5.266411098430327,210,71.25737753006747,7.249743825923562,0.5450198230516752,adni_tau90,ADNI tau90
education_years_h,5,18.0,1.4142135623730951,210,16.776190476190475,2.2504448814628106,0.22745794649083995,adni_tau90,ADNI tau90
apoe_e4_count_h,5,0.6,0.8944271909999159,207,0.3864734299516908,0.5620788632945116,0.6296514718295736,adni_tau90,ADNI tau90
age_h,5,73.22874743326489,5.266411098430327,277,71.46065327887283,7.579898761814818,0.5914639501521795,adni_tau180,ADNI tau180
education_years_h,5,18.0,1.4142135623730951,277,16.71480144404332,2.271810005961395,0.2079927828118906,adni_tau180,ADNI tau180
apoe_e4_count_h,5,0.6,0.8944271909999159,268,0.373134328358209,0.542868532943839,0.6027779455980843,adni_tau180,ADNI tau180
age_h,15,75.32199999999999,5.050629663715209,296,68.35902027027026,8.399679698469212,0.0006433109628689356,oasis3_tau180,OASIS3 tau180
education_years_h,15,16.2,1.8205179796655988,296,16.554054054054053,2.293051504839766,0.48578253963608264,oasis3_tau180,OASIS3 tau180
apoe_e4_count_h,14,1.0714285714285714,0.615727926214882,296,0.38513513513513514,0.5464665995177164,3.878415445389504e-05,oasis3_tau180,OASIS3 tau180
age_h,4,73.38,4.707065611043325,122,68.02688524590164,7.87453339370282,0.13110234225590145,oasis3_tau90,OASIS3 tau90
education_years_h,4,16.75,2.217355782608345,122,16.475409836065573,2.3113557781366314,0.8086309045602973,oasis3_tau90,OASIS3 tau90
apoe_e4_count_h,4,0.75,0.5,122,0.4180327868852459,0.6008281328276229,0.16877300123133887,oasis3_tau90,OASIS3 tau90
